id,trigger,conditions,script,text,options,notes
# D-MOD service entrance,,,,,,
dmodservices_marketOptDModServices,PopulateOptions,"$hasMarket
$marketSize >= 6
$menuState == main
$tradeMode == OPEN
!$global.DModServices_disabled",,,30:dmodservices:Visit the D-MOD service center,"D-MOD only does business in size 6+ markets, as they don't have enough customers in worlds with a smaller population."
dmodservices_marketOptDModServicesSel,DialogOptionSelected,$option == dmodservices,"DMSShowPlayerFleet
FireAll PopulateDModServicesOptions","You establish a linkup with the local D-MOD service center to seek out a representative.

D-MOD welcomes any spacers who offer their ships as target practice in any of D-MOD's weapon demonstrations. These demonstrations provide both entertainment to the local populace and a practical option for retiring captains wishing to cement their own decisions. Barring that, the more technical and savvy D-MOD employees seek out ships to creatively ""modify"", a desire largely satisfied by superstitious - yet wealthy - space captains who believe that a broken-down ship performs better than a pristine one.

After a short wait, a D-MOD representative establishes a comm-link with you to discuss their services and answer any queries you might have.",,
dmodservices_marketOptDModServicesSelAlt,DialogOptionSelected,"$option == dmodservices
$faction.id == sindrian_diktat","DMSShowPlayerFleet
FireAll PopulateDModServicesOptions","You establish a linkup with the local D-MOD service center to seek out a representative.

Despite operating within what they see as a controversial polity at best, the local Daedalia-Mariner Opis Demolitions employees seem to begrudgingly ignore this fact, as one of their representatives quickly establishes a comm-link to you, greeting you and willing to answer any questions about their services.",,
,,,,,,
# D-MOD service options,,,,,,
dmodservices_RandomOption,PopulateDModServicesOptions,,,,dmodservicesRandom:Offer one of your own ships as target practice,
dmodservices_SelectionOption,PopulateDModServicesOptions,,,,"dmodservicesSelection:Request ""special modifications"" for a ship",
dmodservices_AutomateOption,PopulateDModServicesOptions,"$global.DModServices_enableAutomate
$global.pkCacheDefendersDefeated",,,dmodservicesAutomate:Apply automated systems to a ship,Option only appears if a certain [REDACTED] fleet has been defeated
dmodservices_SModsOption,PopulateDModServicesOptions,$global.sdtu_missionCompleted,,,dmodservicesSMods:Ask for special modifications removal on a ship,Option only appears if the Usurpers questline has been completed
dmodservices_Leave,PopulateDModServicesOptions,,"SetShortcut dmodservicesLeave ""ESCAPE""",,dmodservicesLeave:Leave the service center,
dmodservices_LeaveSel,DialogOptionSelected,$option == dmodservicesLeave,"ShowDefaultVisual
FireAll PopulateOptions",,,Going back to market main menu
,,,,,,
# Go Back option (shared by all D-MOD options),,,,,,
dmodservices_GoBack,DialogOptionSelected,$option == dmodservicesGoBack,FireAll PopulateDModServicesOptions,,,Going back to D-MOD service menu
,,,,,,
# D-MOD option 1: Random D-Mod,,,,,,
